Name,MiddleName,Suffix,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingStateCode,BillingCountryCode,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingStateCode,ShippingCountryCode,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,NameLocal,Jigsaw,AccountSource,SicDesc,ACRNM__c,Abbreviation__c,Topics__c,Active__c,AI_Validation_Status__c,qualtrics__NPS_Date__c,Institution_Sub_type_OLD__c,Institution_Type_OLD__c,Public_Private_Sector_OLD__c,email__c,CloudingoAgent__BAR__c,CloudingoAgent__BAS__c,CloudingoAgent__BAV__c,CloudingoAgent__BRDI__c,CloudingoAgent__BTZ__c,CloudingoAgent__SAR__c,CloudingoAgent__SAS__c,CloudingoAgent__SAV__c,CloudingoAgent__SRDI__c,CloudingoAgent__STZ__c,scanbizcards__ScanBizCards__c,Relationship_with_the_bank__c,Beneficiary_type__c,InstitutionSector_LAB_OLD__c,InstitutionSubType_LAB_OLD__c,InstitutionType_LAB_OLD__c,AI_Area__c,AI_Sub_Area__c,AI_Technology__c,qualtrics__Net_Promoter_Score__c,ORP_Confidential_Account__c,Other_Phone_Extension__c,Phone_Extension__c,Relationship_Type__c,Facebook__c,Linkedin__c,ORP_Business_Partner_Number__c,Other_Phone__c,Skype__c,Twitter__c,Used_by_IDB_Lab__c,Used_by_IDB__c,Financial_Regulation__c,Institution_Sub_Type__c,Institution_Type__c,Legal_Name__c,ORP_Rating__c,ORP_Region__c,ORP_Used_by_ORP__c,DQ_Score__c,ORP_Business_Partner_Name__c,ORP_Id__c,IDB_isBucket__c,ORP_Academic_Type__c,PSR_FinancingFocus__c,PSR_FundStatus__c,PSR_IsFund__c,pbk__AUM__c,pbk__Active_Investors__c,pbk__Average_Volume__c,pbk__Business_Status__c,pbk__Company_Status__c,pbk__Currency__c,pbk__Date_of_Last_Round__c,pbk__Dry_Powder__c,pbk__Employees__c,pbk__Enterprise_Value__c,pbk__Exchange__c,pbk__FYE__c,pbk__Financing_Status__c,pbk__Firm_Sub_Type__c,pbk__Former_Name__c,pbk__Global_Region__c,pbk__Global_Sub_Region__c,pbk__High_52wk__c,pbk__Industries_All__c,pbk__Investor_Status__c,pbk__LTM_Annual_Revenue__c,pbk__LTM_Dividend_Yield__c,pbk__LTM_EBITDA__c,pbk__LTM_EBIT__c,pbk__LTM_EPS__c,pbk__LTM_Net_Income__c,pbk__LTM_Number_Of_Investments__c,pbk__LTM_P_E__c,pbk__Last_Inv_Date__c,pbk__Last_Inv_Lead_Partner_Email__c,pbk__Last_Inv_Lead_Partner_Phone__c,pbk__Last_Inv_Lead_Partner_Title__c,pbk__Last_Inv_Lead_Partner__c,pbk__Last_Inv_Location__c,pbk__Last_Inv_Name__c,pbk__Last_Inv_Primary_Industry__c,pbk__Last_Inv_Size__c,pbk__Last_Inv_Status__c,pbk__Last_Inv_Type__c,pbk__Last_Round_Size__c,pbk__Last_Round_Status__c,pbk__Last_Round_Type__c,pbk__Last_Round_Valuation__c,pbk__Last_Sync_Date__c,pbk__Low_52wk__c,pbk__Market_Cap__c,pbk__Number_Of_Active_Investments__c,pbk__Ownership_Status__c,pbk__PB_Notes__c,pbk__PitchBook_Industry_Code__c,pbk__PitchBook_Industry_Group__c,pbk__PitchBook_Industry_Sector__c,pbk__PitchBook_Industry__c,pbk__PitchBook_Link__c,pbk__PitchBook_Type__c,pbk__Preferred_Company_Valuation__c,pbk__Preferred_Deal_Size__c,pbk__Preferred_EBITDA__c,pbk__Preferred_EBIT__c,pbk__Preferred_Geographies__c,pbk__Preferred_Industries__c,pbk__Preferred_Investment_Amount__c,pbk__Preferred_Investment_Horizon__c,pbk__Preferred_Investment_Types__c,pbk__Preferred_Other__c,pbk__Preferred_Revenue__c,pbk__Preferred_Verticals__c,pbk__Primary_Contact_Email__c,pbk__Primary_Contact_Name__c,pbk__Primary_Contact_Phone__c,pbk__Primary_Contact_Title__c,pbk__Primary_US_Region__c,pbk__SIC__c,pbk__TTM_End__c,pbk__Ticker_Symbol__c,pbk__Total_Assets_FYE__c,pbk__Total_Debt_FYE__c,pbk__Total_Money_Raised__c,pbk__Verticals__c,pbk__Year_Founded__c,pbk__pbId__c,Instagram__c,Business_Model_Type__c,Errors
Accion Internacional,,,,"56 Roland Street, Suite 300",Boston,Massachusetts,2129,United States,MA,US,,,,,,,,United States,,US,,,,16176257080,,,http://www.accion.org,,,,,,,"At Accion, our vision is to build a financially inclusive world – one in which every individual has access to high-quality, affordable financial services.",,,,,,,US-ACCION,ACCION,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,48,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Partners Of America,,,,"1424 K Street NW, Suite 700Suite 700",Washington D.C.,District of Columbia,20005,United States,DC,US,,,,,,,,United States,,US,,,,+12026283300,,,http://www.partners.net/partners/default.asp,,,,,,,"Inspired by President Kennedy, Partners of the Americas was founded in 1964 as the people-to-people component of the Alliance for Progress.

The idea behind Partners came from a Foreign Service Officer named Jim Boren who was stationed in Peru in the early 1960s. To help meet local needs, Boren often recruited groups in his native Texas to fund projects such as digging wells or fixing battered roads. Connecting people across the hemisphere proved an innovative approach to solving problems. Yet, Boren’s model was more than a one-way transfer of assistance from North to South. After years of service, Boren understood a crucial aspect of effective international partnership: if solutions were to have lasting impact, locals would have to be involved in the development process—engaged as active participants and not merely recipients of foreign resources and aid.",Medium,,,,,,US-PARTNERS,,,true,Pending validation,,,International Organization / Program,Private Sector,info@partners.net,,,,,,,,,,,false,Other,,,,,,,,,,,,,https://www.facebook.com/partnersamericas,,,,,@partnersAmerica,false,false,,,Intergovernmental Organization,,,,false,71,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Visionfund International Headquarters,,,,5 Paises800 West Chestnut Avenue,Monrovia,California,CA 91016,United States,CA,US,,,,,,,,United States,,US,,,,6263038811,,,http://www.visionfund.org/,,,,,,,,,,,,,,US-VISIONFUND,VFI,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,Business,,,,false,55,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Instituto Stimulus,,,,"Rua Visconde de Pirajá, 414, sl. 822, Ipanema",Rio De Janeiro,Rio de Janeiro,,Brazil,RJ,BR,,,,,,,,United States,,US,,,,,,,https://www.stimulus.org.br/,,,,,,,"Organização sem fins lucrativos criada em 2010 para contribuir para a redução das desigualdades sociais e econômicas no Brasil. Concentra esforços na área de Educação, especificamente no segmento de Educação Infantil, em instituições (creches e pré-escolas) comunitárias, que constituem a rede educacional mais precária e que atende à parcela mais vulnerável da população.",,,,,,,BR-ISB,,,true,Validated,,,,Private Sector,contato@stimulus.org.br,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,true,,,Business,"INSTITUTO STIMULU, BRASIL",,,false,53,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Rainforest Alliance,,,,"233 BROADWAY, 28th Floor",New York,New York,NY 10279,United States,NY,US,,,,,,,,United States,,US,,,,12126771900,,,http://www.rainforest-alliance.org/,,,,,,,"Rainforest Alliance trabaja para conservar la biodiversidad y asegurar medios de vida sostenibles transformando las prácticas de uso de suelo, las prácticas empresariales y el comportamiento de los consumidores.Agricultura,  silvicultura y  turismo sostenible, educación ambiental, mitigación de y adaptación al cambio climático, asistencia técnica a empresas, certificación.",,,,,,,US-RAINFORESTALLINC,RA,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,48,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Ewing Marion Kauffman Foundation,,,,4801 ROCKHILL ROAD,Kansas City,Missouri,64110,United States,MO,US,,,,,,,,United States,,US,,,,816 932 1078,,,,,,,,,,,,,,,,,,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,41,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Mennonite Economic Development Associates,,,,"155 FROBISHER DRIVE, SUITE I-106Waterloo, ON",Toronto,Ontario,N2V 2E1,Canada,ON,CA,,,,,,,,United States,,US,,,,5197251633,,,www.meda.org,,,,,,,,,,,,,,CD-MEDA,MEDA,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,48,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Capital Partners For Nature And Communities,,,,"4245 NORTH FAIRFAX DRIVE, SUITE 100",,,22203,United States,,US,,,,,,,,United States,,US,,,,703-841-5692,,,,,,,,,,,,,,,,,,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,29,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Youthbuild International,,,,58 Day Street,Somerville,Massachusetts,MA 02144,United States,MA,US,,,,,,,,United States,,US,,,,6176239900,,,http://youthbuildinternational.org/,,,,,,,,,,,,,,US-YBI,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,false,47,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Arc Finance Ltd,,,,70 Overlook Road,Hastings-On-Hudson,New York,10706,United States,NY,US,,,,,,,,United States,,US,,,,9144783851,,,http://www.faqs.org/tax-exempt/NY/Arc-Finance-Ltd-Arc.html http://www.arcfinance.org/,,,,,,,"The mission of Arc Finance is to promote and expand access to financing for energy, water and other basic needs to build the income and assets of poor people around the world.",,,,,,,US-ARC,,,true,Pending validation,,,,Private Sector,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,false,false,,,Non Profit / NGO,,,,false,54,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Private Sector:Public_Private_Sector_OLD__c --
Ecoenterprises Fund,,,,5505 Connecticut Avenue Nw 135,Washington,District of Columbia,20015,United States,DC,US,,,,Climate - Smart Agriculture,,,,United States,,US,,,,+8024532455,,,http://www.ecoenterprisesfund.com,,,,,,,,,,,,,,US-ECOE,,,true,Validated,,,Business,Private Sector,,,,,,,,,,,,false,,Entrepreneur,PRIVATE,Angel investor,Finance,Climate - Smart Agriculture,Farm Level Solutions;Value Chain Transformation,,,,,,Executing Agency,,,,,,,true,false,,Foundation,Non Profit / NGO,ECOENTERPRISES FUND,,,false,55,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Climate - Smart Agriculture:AI_Area__c --
